agency;sources_and_exposure;toxicity;destruction_and_degradation;alternative_developments_and_deployment;removal
Department of Defense;11;7.46;41.14;17.27;19.70
Department of Veterans Affairs;46.45;0;0;0;0
National Institutes of Health;5.56;27.85;0.92;0;0.69
Environmental Protection Agency;10.20;19;0;4.50;0
Agency for Toxic Substances and Disease Registry;0.63;14.17;0;0;0
National Science Foundation;1.42;0;2.14;0.15;0.80
Food and Drug Administration;0;0.18;0;4.20;0
U.S. Department of Agriculture;1.25;0.61;0.02;0.80;0.37
Department of Homeland Security;0;3;0;0;0
National Institute of Standards and Technology;0;0;0;3;0
Department of the Interior (U.S. Geological Survey);0;2.70;0;0;0
Department of Transportation (Federal Aviation Administration);0;0;0;2.06;0
National Oceanic and Atmospheric Administration;0;1;0;0;0
National Institute for Occupational Safety & Health;0;0.25;0;0.01;0.03
Department of Energy;0.20;0;0;0;0
